gene	max	min
PGA5	9.29997064018891	1.33384783751467e-06
UGT1A1	8.78223320772725	2.21350179874236e-06
CCDC152	8.74256584757344	7.65311252148848e-08
LGALS7	8.17579042674369	2.22155664797441e-06
HLA-DRB5	7.91110203575563	1.21085033999435e-07
UGT1A4	7.89944732370078	5.92901310270122e-08
CCL15	7.55241256966789	5.02126506596312e-07
ANG	7.50163273505576	1.31595445651556e-09
C4A	7.43520335961908	2.5476392551127e-08
PLLP	7.42329029522844	2.1999723154309e-07
MTRNR2L8	7.4169214906983	2.38220660464528e-06
HIST2H2AA3	7.36011223518218	4.6461471114867e-08
ITIH4	7.16487611864391	6.64440517716969e-07
RPS28	7.05282148301989	5.41971276746267e-08
UGT1A10	6.9262053323296	1.04362871677921e-07
CAPN12	6.77640802627197	8.91072480246891e-08
MUSTN1	6.70772414139026	4.63183802423828e-09
SNX22	6.55648282037909	3.06502343505599e-08
RSPH9	6.54597033793778	1.42955323340077e-06
IDS	6.54592468795626	6.77958933437139e-08
GCOM1	6.51328545266377	1.00576361772298e-06
DEFA3	6.48975744571875	6.89627729411058e-06
NPIPA7	6.45011161097189	7.61992122733091e-08
MRC1	6.44120370853355	7.40838572266256e-07
SPRR2B	6.42606993946183	2.11000788086224e-06
JSRP1	6.41000365989106	1.8435194704125e-07
NKX6-2	6.29591336139621	7.98741970520211e-06
UGT1A6	6.28536249499696	1.21837383781909e-06
PGA3	6.24798410309407	4.91500615673601e-06
UGT1A7	6.16868794791069	1.08293711775787e-06
HABP2	6.10856266440932	1.72822119717253e-05
ANKRD39	6.09754759473308	0.000694398325093992
SULT1A4	6.07432452674192	3.10474312925635e-09
ZACN	6.04269556743318	1.40182006447276e-07
ATP6V1C2	6.01066913925427	5.31152510863109e-10
DNAJC14	6.00459090686212	5.74673364894807e-07
BCL2L2-PABPN1	5.94121119418374	2.27486031789681e-07
DEFA1	5.93552298362413	5.77550757441259e-07
NPIPA3	5.83018859402139	1.81746123706361e-07
SNURF	5.77004009946875	8.8773427719957e-08
AQP1	5.76113920834649	5.47289591423805e-09
RGPD1	5.73035773278617	6.36286633011185e-05
NDE1	5.70155939454152	1.34348837388387e-07
MYZAP	5.69812738272103	5.89899391556514e-08
DUOXA2	5.54199962384907	6.66796782233803e-08
SLX1B	5.54122586673837	4.23434631802166e-07
RPS10	5.53096376261625	7.24136839380662e-09
SIK1	5.52889191261946	3.44059554180376e-08
NPIPA2	5.47902415857378	3.77347980862197e-07
PLGLB2	5.42771259865436	5.38732645178897e-05
HIST2H2AA4	5.42507236290124	9.81425465340635e-08
DEFB4B	5.41581794641097	0.000326644733317671
IGF2	5.38018957523282	5.8049739237731e-08
HLA-G	5.37181968383964	5.0354562075583e-07
TMEM184A	5.36281061280584	1.59719121928248e-07
PDLIM2	5.33919436271663	7.86134775054848e-08
HBA2	5.32821265244057	4.59107418748772e-08
STON1-GTF2A1L	5.32782817475572	2.55851096575554e-06
ATP5EP2	5.19784674732861	9.09425754702653e-08
RPL9	5.19008969191296	1.15719522852942e-09
MMACHC	5.1888740762211	1.22130012769617e-08
PRAP1	5.17299455604486	8.05831129646606e-06
BEST1	5.16189667014779	2.26522982593735e-08
