gene	max	min
HIST1H1E	11.573159929398	0
HIST1H3B	11.3936523980349	0
HIST1H4E	11.2363515029937	0
METTL24	11.1143085299624	6.34647001618305e-09
UGT1A1	10.7658276644849	1.22626009790849e-07
HIST1H4D	10.6974293591715	0
UGT1A8	10.591084853988	5.70876565575418e-07
HIST1H2AD	10.4434206006583	0
HIST1H2AI	10.2820193175459	2.64099717472988e-06
UNC5CL	10.1766195559513	6.52321767979913e-06
HIST2H2AC	10.0053759756033	1.44865555506968e-06
UGT1A4	9.98557634456757	1.35082913454987e-06
CLDN23	9.97167881489862	2.066537252432e-08
HSPA1A	9.83226672817269	1.39647404751031e-08
HIST1H2BF	9.75439802484615	0
HIST1H4J	9.70543006394482	0
HIST1H2BH	9.66527349844989	0
UGT1A10	9.50757369647459	4.24550894440046e-08
UGT1A9	9.47559523993679	2.85209922346041e-07
HIST2H4A	9.36104604855175	2.64646920378198e-07
HIST2H2AA3	9.34266947938832	1.50382106767211e-09
HIST1H4H	9.27856065647358	1.0647372994832e-05
UGT1A7	9.2556257022036	1.3506537781538e-06
HIST1H2BE	9.21417044542982	1.28002489505064e-05
DEFB4B	9.09264434685178	2.64522398527589e-05
HIST1H3H	8.92785791716356	4.79309020207097e-06
HIST1H3G	8.91497189167091	0
IGF2	8.7634302996205	1.02995324269273e-07
HIST2H3A	8.71873093226427	0
HIST1H2AK	8.6772721551396	0.000780174155234015
HIST2H2BF	8.65560977590819	0
HIST1H4I	8.64765580658737	4.4325896730868e-08
LUZP6	8.59906539136189	1.02407687663231e-07
HIST1H3J	8.57421952464543	0.000148251926122445
MUC6	8.57349730605535	3.6617297175745e-05
GSTM2	8.53046460157155	1.78109793580461e-09
ZBTB20	8.49726479697564	5.09795865522022e-06
GSTM1	8.47296544448362	4.33042141922968e-06
HIST1H3D	8.45150799192463	5.81898218388055e-05
HSPA1B	8.42981164048057	4.7599071351101e-09
HIST2H3C	8.3914953531944	0
MTRNR2L8	8.37457281690513	8.67198592935381e-08
FAM213A	8.30567408860052	1.63769068795006e-06
UGT1A6	8.21609389797034	3.12592360884878e-08
HIST2H2AA4	8.1890720360091	3.83750187182841e-09
SLC3A1	8.10193962179257	5.51654210116936e-05
SPRR2B	8.06621341800857	5.13388207501464e-06
AKR1C1	8.03738340164693	5.32129984520679e-09
GABBR1	7.98293590083	5.33125172896831e-08
RPS10	7.94616595258012	1.55782053923303e-11
HIST2H4B	7.83390507990127	1.38387117765149e-07
GSTA2	7.82394482990007	3.55321362333072e-06
EDARADD	7.79493034907267	6.60121690643223e-09
SFTA2	7.7919292177109	1.68192243243936e-07
HLA-G	7.69309215444693	1.37203858274759e-08
NME7	7.4824875483738	1.66832564651997e-07
DSE	7.44039005378548	3.6239301952623e-05
PSORS1C1	7.40523770495193	9.93613545663408e-07
H3F3A	7.36465787576543	2.82769718751297e-09
OGFRL1	7.36131906413204	3.27617086348653e-07
SEMA5B	7.3527256800402	1.11165940208657e-06
HPS3	7.32745208495654	1.61884203819795e-08
AMY1A	7.28862436147837	3.45801591756789e-05
PRSS3	7.25996310557773	0.000268633319339906
AKR1C2	7.20348919350009	2.96910848796017e-06
MSMP	7.11531349033743	1.22621904630194e-07
ATP6V1C2	7.07817829203232	2.17370454969057e-10
TRIM14	7.05551967438015	8.62711931226556e-07
HIST1H4K	7.02693037628185	1.88627240715888e-06
RSPH9	6.98478281933589	1.16606408973041e-08
UGT2B17	6.96389071305809	7.68407201210408e-05
C2orf15	6.92822950924145	3.48266723193547e-06
POLR2J2	6.89071247561607	7.42604195913543e-08
SCHIP1	6.8753141052271	1.19590475522457e-07
ATP6V1G2-DDX39B	6.8652526826698	7.01796132318577e-09
C4A	6.86375284065433	3.85563803106947e-08
AKR1C4	6.82434103720081	2.97809072069555e-07
NBEAL1	6.81997527825501	1.25560730701579e-08
ZNF703	6.80341489274738	2.95214386270004e-08
NOTCH2NL	6.79652277121955	1.04111946619412e-07
GPR27	6.7659550578729	9.56707281396518e-07
SH3D19	6.76187961410418	3.28665192839139e-08
ARSI	6.71130598921788	8.33109381481734e-07
PIGY	6.68967384939025	2.60085619707695e-08
PRSS1	6.66500387093383	3.03555038039249e-06
SYNC	6.6647982687836	4.98273098337165e-08
CCDC152	6.62941446445328	4.40853684668951e-08
RPS10-NUDT3	6.61422394845648	2.14146416155359e-08
PLGLB2	6.57943095250826	3.08765916150477e-05
PCDHGB7	6.56600699773207	1.80431750651522e-08
PRICKLE4	6.52602836107195	3.44032730636989e-08
SLC39A4	6.5165855510636	4.85859974475034e-09
IL18BP	6.51438307838288	8.24457253578714e-08
AMY1B	6.48637309047129	6.93244935234816e-07
CFHR1	6.47644388691995	1.10869073957076e-05
LTB	6.46115482021309	7.87516354350259e-08
BOP1	6.42994066748508	1.41127109998251e-11
HLA-DQB2	6.40580878479006	4.11141733991371e-08
SLC9A3	6.3916486585878	1.03844351526661e-05
PCDHGA5	6.38244606312185	4.43860281862385e-08
PLGLB1	6.35502681840999	4.32506689795886e-05
UBD	6.33893654304996	2.04332906150739e-09
ORAOV1	6.33048199202288	4.36035385575906e-09
NDUFC2-KCTD14	6.32064807546204	9.80611680745369e-09
UBXN11	6.31086643497617	5.41692029010221e-08
SPRR1A	6.29740024318599	3.51048203839355e-07
SAP25	6.29058897089309	3.83081384924822e-06
POU5F1B	6.27504452406854	1.9124912338242e-06
PCDHGA4	6.27301611579503	3.13012193942086e-08
RSC1A1	6.26967628365081	2.94643490494906e-07
AMY1C	6.26644434616065	1.78063494011838e-05
SAMD11	6.26089621664778	1.4904913001601e-06
AREG	6.25239721188892	5.32715751511148e-08
PCDHGB4	6.24817458414318	2.58900877181389e-07
PCDHGB2	6.23212408242787	7.98284705005869e-09
MRC1	6.19880685781968	1.01964119592068e-07
C4B	6.19437313320055	5.67211064783635e-08
SYNE1	6.18429851053402	5.18053229114912e-06
ZDHHC24	6.17000668407817	2.96939398225504e-06
EIF5AL1	6.15030163281442	4.17247569828305e-10
EIF4EBP3	6.1217587267337	6.47916476026467e-09
RHEB	6.11308018743418	7.39989927112106e-08
PCDHGA9	6.11202234712416	1.3928599940094e-09
LUC7L2	6.10140087382309	6.47481899207492e-08
HLA-DQA1	6.09469928085027	8.7628224321179e-06
DEFB103B	6.08984312481218	3.61524649452605e-05
BBIP1	6.08415361315028	4.30139424079101e-07
PGAM2	6.05627847321005	2.14245792218293e-06
COMMD3-BMI1	6.04024338420756	3.30343308263537e-08
REL	6.024847167594	5.00675585750621e-05
ANKRD39	6.01618727130857	8.66455933086208e-05
MMACHC	5.9533080827579	2.67114637075849e-08
HLA-F	5.91455028318882	7.62626939376787e-09
HLA-DRB5	5.91305510886299	4.11999589999823e-09
NBL1	5.90510695503361	3.51824880340246e-09
NBPF14	5.86937760180397	1.48418917156334e-08
FAM25C	5.86910865778493	1.2772387989024e-05
TTLL3	5.86655513070275	3.38196270988078e-07
HNRNPUL2-BSCL2	5.86468906903022	2.12281009992488e-08
AGER	5.86440641876544	1.2247446878888e-07
LCN6	5.86409187532117	9.55208088715409e-06
PCDHGA10	5.85445370242547	5.71647937874786e-08
PMF1-BGLAP	5.84905336009151	2.65712096769732e-08
AHSA2	5.84039101613961	5.69016219476026e-07
PCDHGC3	5.83643574136664	2.02463823484322e-10
LDLRAD2	5.82453884890053	1.24660100020435e-08
GOLGA7B	5.79652268824512	2.49928931772558e-06
IFITM2	5.78844777703368	1.11865246132936e-06
SAA2	5.77187081378845	1.72948507959347e-07
PSORS1C2	5.76664428614295	7.17374580627705e-07
ZBED6	5.76616680271548	0.000146531510679004
MRPS24	5.76031215459693	8.50110959405015e-09
HERC3	5.73997002967017	3.04705890297186e-07
DNAJC25-GNG10	5.73920193882546	4.92582716837831e-08
AKR1B15	5.73815970983	5.20096032960993e-05
DDX39B	5.69466504917121	2.30802932321694e-09
GSTM4	5.69338065530077	0.000126874554639222
NRARP	5.6852840817549	3.2931825034499e-05
PCDHGA11	5.68265561623986	3.72445146945566e-08
HLA-DOB	5.67961728694723	8.56320117037512e-08
COX20	5.66801064092087	4.24239399166026e-09
PCDHGB6	5.66687184224416	8.16672063308488e-10
STON1-GTF2A1L	5.66530214377364	1.56140252208781e-05
SGK3	5.66313904769293	4.52454282928727e-07
KIAA1841	5.63871734332418	1.04025644986905e-06
RELL1	5.61047176702726	6.02492934698162e-06
CKS1B	5.6104166483174	4.16215772958139e-09
TUBB2B	5.60312476123902	1.25988605770289e-07
CLU	5.60133445429204	2.62589425759074e-08
SESN3	5.5933983272004	1.84538271552626e-06
ARHGEF35	5.59298995100033	5.77988013006348e-09
CGREF1	5.5787137274948	4.47539012515819e-07
GPR39	5.57669939524645	1.23322580680707e-06
ZKSCAN1	5.55250551469594	1.3891306558822e-05
FGFBP2	5.54450142855052	6.43588754734026e-06
TM4SF19	5.53547440469437	1.67830608521768e-07
POLR2J3	5.53159633589888	1.24316787974976e-08
RPL39L	5.52925004758519	0.000270079625463993
PCDHGA2	5.5246598722158	5.71272469329642e-08
