geneSymbol	diseaseName
ABAT	Autistic Disorder
ABCB6	Congenital ocular coloboma (disorder)
ABCF1	Hypersensitivity
ABR	Medulloblastoma
ABT1	Stomach Neoplasms
ACOT1	Diabetes Mellitus, Experimental
ACSL6	Psychotic Disorders
ACSM3	Prostatic Neoplasms
ACTA1	Arthrogryposis
ACY1	Renal Cell Carcinoma
ADAM17	Blepharitis
ADH1A	Alcoholic Intoxication, Chronic
ADORA2A	Anxiety Disorders
AGBL5	Retinitis Pigmentosa
AGER	Rheumatoid Arthritis
AGO2	Alcoholic Intoxication, Chronic
AIDA	Liver Cirrhosis, Experimental
AIF1	Hyperalgesia
AK1	Anemia, Hemolytic
AK2	Anemia
AKAP2	Weight Gain
AKR1C1	Non-Small Cell Lung Carcinoma
AKR1C2	Neoplastic Cell Transformation
AKR1C4	Alcoholic Intoxication, Chronic
AKT2	Acanthosis Nigricans
ALDH1A2	Meningomyelocele
ALDH2	Alcoholic Intoxication
ALDH7A1	Bone Diseases
ALG1	Congenital disorder of glycosylation type 1K
ALG13	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 36
ALG14	MYASTHENIC SYNDROME, CONGENITAL, 15
ALG9	Congenital disorder of glycosylation type 1L
ALX3	Blepharoptosis
AMACR	Adenoma
AMN	Edema
ANG	Acute-Phase Reaction
ANK3	Aggressive behavior
ANKRD11	Autistic Disorder
ANXA2	Squamous cell carcinoma
AP3S2	Diabetes Mellitus, Non-Insulin-Dependent
AP4M1	Cerebral Palsy
APOBEC3A	Psychotic Disorders
APOC2	Drug Eruptions
AQP1	Choledochal Cyst
AREG	Asthma
ARG2	Asthma
ARHGAP4	HIV Infections
ARID4B	Adenoid Cystic Carcinoma
ARL2BP	Glaucoma
AS3MT	Birth Weight
ASAH1	Arthralgia
ASMTL	Leukemia, Myelocytic, Acute
ASPG	anaphylaxis
ASPSCR1	Alveolar Soft Part Sarcoma
ATF7IP	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
ATG7	Anemia
ATL3	Bunion
ATOX1	Hepatitis, Chronic
ATP1B1	Leukemia, Myelocytic, Acute
ATP5A1	Alzheimer's Disease
ATP5E	Acidosis, Lactic
ATP5H	Adenocarcinoma of lung (disorder)
ATP6AP2	Fibrosis
ATRIP	Seckel syndrome
ATXN3	Blepharoptosis
AVPR1A	Congenital adrenal hyperplasia
B2M	Autoimmune Diseases
B3GAT2	Schizophrenia
B3GNT9	Rheumatoid Arthritis
B4GALNT1	SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE (disorder)
BBIP1	Bardet-Biedl Syndrome
BBS1	Asthma
BCKDHA	Acidosis, Lactic
BEST1	Choroideremia
BGLAP	Asthma
BIRC5	Adenocarcinoma
BLOC1S1	Schizophrenia
BMI1	Glioblastoma
BMP8A	Peripheral Arterial Diseases
BOLA3	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA
BOP1	Stomach Neoplasms
BRAF	Ameloblastoma
BRD2	Glioblastoma
BSCL2	Acanthosis Nigricans
C10orf11	Substance-Related Disorders
C19orf68	Polycystic Ovary Syndrome
C1QTNF3	Schizophrenia
C1QTNF5	Lens Diseases
C2	Dermatomyositis
C21orf59	Ciliary Motility Disorders
C3	Transient Ischemic Attack
C4A	Abdominal Pain
