PC1	PC2	Project	sampleName
-471.69682832076	81.8142999715455	GDC	TCGA-E5-A2PC-01A-11R-A206-07
-362.263120234891	54.3343246303654	GDC	TCGA-K4-A3WS-01A-11R-A22U-07
-452.577718367966	32.2222044307939	GDC	TCGA-DK-A6B0-01A-11R-A31N-07
-385.08688088386	78.5470401869288	GDC	TCGA-BL-A13J-01A-11R-A277-07
-447.359709481176	43.2043050868792	GDC	TCGA-E7-A5KF-01A-11R-A28M-07
-463.96274657095	85.7833326609722	GDC	TCGA-DK-A2I6-01A-12R-A18C-07
-371.68223326288	68.3646532404635	GDC	TCGA-DK-A1AF-01A-11R-A13Y-07
-400.085928483232	84.7529410326142	GDC	TCGA-GU-A42R-01A-11R-A23N-07
-435.537201756145	76.4696175095277	GDC	TCGA-FT-A3EE-01A-11R-A206-07
-407.104185961277	99.1091070983919	GDC	TCGA-GU-A766-01A-11R-A32O-07
-427.465995672297	103.367120398047	GDC	TCGA-DK-A3X2-01A-11R-A22U-07
-392.510124350534	85.9714895679089	GDC	TCGA-CU-A5W6-01A-11R-A28M-07
-370.476568388696	37.0684927514059	GDC	TCGA-FD-A3SR-01A-11R-A22U-07
-417.279192252457	106.837278720982	GDC	TCGA-GC-A3RD-01A-12R-A22U-07
-383.466884390843	62.8492286761589	GDC	TCGA-FD-A3B8-01A-31R-A20F-07
-401.576498591624	100.849975663872	GDC	TCGA-FD-A3NA-01A-11R-A21D-07
-411.26941156132	46.1839489216396	GDC	TCGA-GD-A76B-01A-11R-A32O-07
-397.492013434935	121.418292500041	GDC	TCGA-FD-A3B3-01A-12R-A206-07
-408.745480858632	4.66943985707036	GDC	TCGA-DK-A6B1-01A-12R-A30C-07
-434.263743184196	82.7736224087288	GDC	TCGA-C4-A0F6-01A-11R-A10U-07
-378.556779182704	64.4754994372035	GDC	TCGA-E7-A6MD-01A-41R-A352-07
-382.204811447239	23.1206406245041	GDC	TCGA-GV-A3QG-01A-11R-A220-07
-381.472680025107	53.99208259217	GDC	TCGA-DK-A6B2-01A-11R-A30C-07
-372.764541426355	37.0958055025321	GDC	TCGA-FD-A3SQ-01A-21R-A22U-07
-454.032725664369	76.6970574685974	GDC	TCGA-DK-A3IS-01A-21R-A21D-07
-410.883518485757	66.0761448477057	GDC	TCGA-DK-A1AG-01A-11R-A13Y-07
-428.534357048228	68.6177183352608	GDC	TCGA-FJ-A3ZE-01A-11R-A23N-07
-410.959732173922	58.4169524860006	GDC	TCGA-BT-A20Q-01A-11R-A14Y-07
-401.130466816309	15.1297922688318	GDC	TCGA-UY-A8OD-01A-11R-A36F-07
-442.881489332525	70.4711856664884	GDC	TCGA-BT-A2LD-01A-12R-A20F-07
-456.624499729993	114.976438339265	GDC	TCGA-BT-A42F-01A-11R-A23W-07
-433.693170675997	99.3464556852185	GDC	TCGA-FD-A3SO-01A-11R-A22U-07
-384.177941279283	45.9274674754113	GDC	TCGA-E7-A677-01A-11R-A30C-07
-361.810782268658	67.8539928535134	GDC	TCGA-GV-A3JX-01A-11R-A20F-07
-383.348345231902	69.5902075965085	GDC	TCGA-BL-A5ZZ-01A-31R-A30C-07
-432.49501117005	54.1145952190856	GDC	TCGA-FD-A5BV-01A-11R-A26T-07
