PC1	PC2	Project	sampleName
-93.919408078551	6.44754152602766	GTEX-V6	GTEX-S32W-1126-SM-4AD5V
-62.4501088037955	-95.4589452438376	GTEX-V6	GTEX-S3XE-1226-SM-4AD4L
-81.9250298756516	-67.8625318985306	GTEX-V6	GTEX-S4Q7-0926-SM-4AD5D
-65.3688854369664	-106.940247432895	GTEX-V6	GTEX-S4UY-0926-SM-4AD6O
-77.1319067211748	40.0931168242078	GTEX-V6	GTEX-SE5C-1026-SM-4BRUG
-52.9519421188266	-118.304936168478	GTEX-V6	GTEX-SNMC-0826-SM-4DM66
-37.6716503411526	-136.447620237376	GTEX-V6	GTEX-SNOS-0526-SM-4DM54
-96.895777380015	27.5340080783956	GTEX-V6	GTEX-U3ZM-0826-SM-4DXU6
-84.2646997322694	-8.679778426107	GTEX-V6	GTEX-U4B1-1226-SM-4DXT7
-67.5113215250002	-51.3208600119465	GTEX-V6	GTEX-1117F-2826-SM-5GZXL
-65.224861825436	-89.8931011719372	GTEX-V6	GTEX-11EM3-1326-SM-5N9C6
-77.2316361961848	-49.3190313945206	GTEX-V6	GTEX-11I78-2226-SM-5PNYA
-83.0508714524116	-106.005535700469	GTEX-V6	GTEX-11P81-1926-SM-5BC53
-56.6007299832578	-58.2209809712541	GTEX-V6	GTEX-1211K-1926-SM-5EQLB
-80.5018026993871	-105.448104762937	GTEX-V6	GTEX-1269C-2426-SM-5FQSN
-101.105728190472	-4.24920860774835	GTEX-V6	GTEX-12WSB-0626-SM-59HJO
-82.742196448634	-30.2939497405017	GTEX-V6	GTEX-12WSK-2226-SM-5GCO5
-94.9463083885043	-92.6571769079274	GTEX-V6	GTEX-12ZZX-1126-SM-5EGKB
-72.1148419380335	-68.2002170482993	GTEX-V6	GTEX-13113-1726-SM-5GCOO
-87.2630063693929	-50.8838445969497	GTEX-V6	GTEX-1313W-0826-SM-5EQ4T
-61.4284860200796	-97.1624643182802	GTEX-V6	GTEX-131XW-0726-SM-5EGK3
-83.5520579116714	-97.4755225432149	GTEX-V6	GTEX-131YS-0626-SM-5EGKL
-66.8208728634866	9.34085173496616	GTEX-V6	GTEX-132AR-0826-SM-5EGK6
-66.4612161282458	-75.0760193743996	GTEX-V6	GTEX-133LE-1726-SM-5K7VQ
-57.9265161210482	-68.4836548175087	GTEX-V6	GTEX-1399U-1826-SM-5PNZ1
-36.8946009138973	14.9351483946671	GTEX-V6	GTEX-13CF3-2126-SM-5IFJP
-60.9197043462705	-70.5170209680842	GTEX-V6	GTEX-13D11-1026-SM-5IJFB
-65.6263761371963	20.1144171618684	GTEX-V6	GTEX-13FTX-1126-SM-5N9EN
-79.786666593198	-110.214166448478	GTEX-V6	GTEX-13FTY-2226-SM-5J1ND
-95.6541901260609	-91.4781480188376	GTEX-V6	GTEX-13N11-1726-SM-5J1OJ
-49.1944897458671	-59.3251546965157	GTEX-V6	GTEX-13O3O-0826-SM-5K7WE
-86.3834593291809	-95.1481365625673	GTEX-V6	GTEX-13PL6-2926-SM-5L3I2
-79.06606362608	-105.827718343358	GTEX-V6	GTEX-13QIC-2326-SM-5LU5N
-81.3795392848813	-80.711235437204	GTEX-V6	GTEX-13W3W-1226-SM-5LU4H
-55.4191109450835	21.261979436723	GTEX-V6	GTEX-145ME-1526-SM-5Q5F2
-82.7407541641387	-66.4210208292793	GTEX-V6	GTEX-146FH-0826-SM-5SI8T
-16.0475885583803	-55.4986536263672	GTEX-V6	GTEX-14AS3-1626-SM-5S2OY
-87.9312069645637	-100.964462587468	GTEX-V6	GTEX-Q2AG-0326-SM-48U1O
-72.0619589224439	-90.7765019066773	GTEX-V6	GTEX-QDT8-0626-SM-48TYW
-92.1936184946493	-45.0926071022352	GTEX-V6	GTEX-QVJO-1826-SM-447C9
-89.6970178782677	-61.4403689774758	GTEX-V6	GTEX-R53T-1526-SM-48FEK
-83.8402839875493	-95.2072947132288	GTEX-V6	GTEX-RU72-0626-SM-46MUI
-73.5589596896067	-25.3657897207903	GTEX-V6	GTEX-S32W-2026-SM-4AD6E
-85.8560603060919	-93.5621706360183	GTEX-V6	GTEX-S341-1526-SM-4AD6K
-65.8208301259623	-92.9139254895617	GTEX-V6	GTEX-S4UY-0726-SM-4AD6X
-47.5312711692162	-78.0876017084339	GTEX-V6	GTEX-SE5C-2126-SM-4BRUJ
-77.7854528234723	-95.1027403916392	GTEX-V6	GTEX-T5JW-2026-SM-4DM63
-75.6766121750182	-75.5672960937638	GTEX-V6	GTEX-T6MO-0326-SM-32QOK
-112.89799320971	-78.064902891332	GTEX-V6	GTEX-TML8-1226-SM-32QON
