gene	corr_XENA_Toil	corr_Recount2	corr_MSKCC_Norm	corr_MSKCC_BATCH
SAMD11	0.972334311286605	0.867388177610708	0.974048541542623	0.890123482599851
NOC2L	0.887915990092311	0.914155745475334	0.902320029978515	0.716041043001498
KLHL17	0.944127480571129	0.984477044213454	0.947431183616176	0.634600762096284
PLEKHN1	0.983425491041678	0.984358141100369	0.984908721632591	0.911093483307752
HES4	0.988368444786271	0.986509107633834	0.989892983383413	0.744408495611879
ISG15	0.991355937144235	0.995852550643312	0.992895693459638	0.90167022730089
AGRN	0.978123193127718	0.994901577941752	0.982748852869515	0.813557706268337
RNF223	0.982397260656019	0.929590196975771	0.982528744809796	0.972545000871691
C1orf159	0.959855867506837	0.988380196467722	0.965994711521408	0.538118458549213
TTLL10	0.917284874021803	0.951816776369688	0.917537523979875	0.859937428270641
TNFRSF18	0.973349820785445	0.979985860512604	0.973960996928751	0.870401824681821
TNFRSF4	0.991152519696507	0.992671466622349	0.991531330234651	0.865764723895108
SDF4	0.94111508743772	0.97603819241268	0.917423331695386	0.603764302449525
B3GALT6	0.969573124544316	0.988290331340555	0.975591382479873	0.776987278486371
UBE2J2	0.889112132847718	0.97152012637227	0.919016071504614	0.68136243084059
SCNN1D	0.974421907726794	0.994216342161418	0.974029059417312	0.644522521638437
ACAP3	0.945846576664376	0.983534045136129	0.947259908528904	0.694175774782149
PUSL1	0.944711757530092	0.9186066784261	0.95235657740515	0.745014767848614
TAS1R3	0.770363134499807	0.788298342057694	0.771976899635317	0.666189892434411
DVL1	0.888183574314185	0.937832411494908	0.907902447877785	0.754666302429843
MXRA8	0.984813971480818	0.995078649938671	0.985784650658716	0.821293640409131
AURKAIP1	0.938259415811536	0.975232822769474	0.95175301100308	0.757167629639384
CCNL2	0.966310479083706	0.991510851890354	0.972521805494275	0.46428841528105
MRPL20	0.922733512965624	0.945094103874656	0.934924065861954	0.770920348028623
ANKRD65	0.991106741440532	0.996998050158786	0.989452160873809	0.941739069253957
TMEM88B	0.702545322856317	0.770845422199787	0.700601622660008	0.675701214803646
VWA1	0.984527595311246	0.99643081833671	0.987985093957827	0.843888354793688
ATAD3C	0.926900501291849	0.989860904861067	0.928966764632358	0.844641020719541
ATAD3B	0.917147898616277	0.97195332442645	0.930764052905043	0.427062686804702
ATAD3A	0.905260347592322	0.967080218184003	0.90497397912371	0.59432839569802
TMEM240	0.972702284390592	0.966013249828358	0.985440125215546	0.937460827495708
SSU72	0.870146124039863	0.976351670312198	0.888301683549031	0.632376362670372
MIB2	0.926287633954211	0.980789632079727	0.927564542990408	0.530059870938787
