sampleName	sampleGroup	region	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT
GTEX-S32W-1126-SM-4AD5V	Bladder	Bladder	BP-22611	RNA isolation_PAXgene Tissue miRNA	2/23/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S3XE-1226-SM-4AD4L	Bladder	Bladder	BP-22873	RNA isolation_PAXgene Tissue miRNA	3/5/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4Q7-0926-SM-4AD5D	Bladder	Bladder	BP-23051	RNA isolation_PAXgene Tissue miRNA	3/13/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4UY-0926-SM-4AD6O	Bladder	Bladder	BP-22895	RNA isolation_PAXgene Tissue miRNA	3/6/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-SE5C-1026-SM-4BRUG	Bladder	Bladder	BP-23389	RNA isolation_PAXgene Tissue miRNA	3/26/12	LCSET-3152	5/27/13	TrueSeq.v1
GTEX-SNMC-0826-SM-4DM66	Bladder	Bladder	BP-23794	RNA isolation_PAXgene Tissue miRNA	4/4/12	LCSET-3205	5/31/13	TrueSeq.v1
GTEX-SNOS-0526-SM-4DM54	Bladder	Bladder	BP-24455	RNA isolation_PAXgene Tissue miRNA	4/23/12	LCSET-3205	5/31/13	TrueSeq.v1
GTEX-U3ZM-0826-SM-4DXU6	Bladder	Bladder	BP-25560	RNA isolation_PAXgene Tissue miRNA	5/22/12	LCSET-3206	6/4/13	TrueSeq.v1
GTEX-U4B1-1226-SM-4DXT7	Bladder	Bladder	BP-25601	RNA isolation_PAXgene Tissue miRNA	5/23/12	LCSET-3206	6/4/13	TrueSeq.v1
GTEX-1117F-2826-SM-5GZXL	Breast	Breast - Mammary Tissue	BP-43507	RNA Extraction from Paxgene-derived Lysate Plate Based	9/12/13	LCSET-4804	3/5/14	TrueSeq.v1
GTEX-11EM3-1326-SM-5N9C6	Breast	Breast - Mammary Tissue	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11I78-2226-SM-5PNYA	Breast	Breast - Mammary Tissue	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4918	3/29/14	TrueSeq.v1
GTEX-11P81-1926-SM-5BC53	Breast	Breast - Mammary Tissue	BP-44512	RNA Extraction from Paxgene-derived Lysate Plate Based	10/10/13	LCSET-4455	1/18/14	TrueSeq.v1
GTEX-1211K-1926-SM-5EQLB	Breast	Breast - Mammary Tissue	BP-44399	RNA Extraction from Paxgene-derived Lysate Plate Based	10/7/13	LCSET-4790	2/19/14	TrueSeq.v1
GTEX-1269C-2426-SM-5FQSN	Breast	Breast - Mammary Tissue	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12WSB-0626-SM-59HJO	Breast	Breast - Mammary Tissue	BP-44902	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4419	1/14/14	TrueSeq.v1
GTEX-12WSK-2226-SM-5GCO5	Breast	Breast - Mammary Tissue	BP-44157	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-12ZZX-1126-SM-5EGKB	Breast	Breast - Mammary Tissue	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-13113-1726-SM-5GCOO	Breast	Breast - Mammary Tissue	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-1313W-0826-SM-5EQ4T	Breast	Breast - Mammary Tissue	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4767	2/8/14	TrueSeq.v1
GTEX-131XW-0726-SM-5EGK3	Breast	Breast - Mammary Tissue	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-131YS-0626-SM-5EGKL	Breast	Breast - Mammary Tissue	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-132AR-0826-SM-5EGK6	Breast	Breast - Mammary Tissue	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-133LE-1726-SM-5K7VQ	Breast	Breast - Mammary Tissue	BP-46482	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4818	3/12/14	TrueSeq.v1
GTEX-1399U-1826-SM-5PNZ1	Breast	Breast - Mammary Tissue	BP-47901	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4918	3/29/14	TrueSeq.v1
GTEX-13CF3-2126-SM-5IFJP	Breast	Breast - Mammary Tissue	BP-46589	RNA Extraction from Paxgene-derived Lysate Plate Based	12/4/13	LCSET-4830	3/20/14	TrueSeq.v1
GTEX-13D11-1026-SM-5IJFB	Breast	Breast - Mammary Tissue	BP-46482	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-13FTX-1126-SM-5N9EN	Breast	Breast - Mammary Tissue	BP-46943	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4905	3/23/14	TrueSeq.v1
GTEX-13FTY-2226-SM-5J1ND	Breast	Breast - Mammary Tissue	BP-46482	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4816	3/22/14	TrueSeq.v1
GTEX-13N11-1726-SM-5J1OJ	Breast	Breast - Mammary Tissue	BP-47125	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4816	3/22/14	TrueSeq.v1
GTEX-13O3O-0826-SM-5K7WE	Breast	Breast - Mammary Tissue	BP-47125	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4818	3/12/14	TrueSeq.v1
GTEX-13PL6-2926-SM-5L3I2	Breast	Breast - Mammary Tissue	BP-47486	RNA Extraction from Paxgene-derived Lysate Plate Based	12/17/13	LCSET-4823	3/23/14	TrueSeq.v1
GTEX-13QIC-2326-SM-5LU5N	Breast	Breast - Mammary Tissue	BP-47486	RNA Extraction from Paxgene-derived Lysate Plate Based	12/17/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-13W3W-1226-SM-5LU4H	Breast	Breast - Mammary Tissue	BP-47141	RNA Extraction from Paxgene-derived Lysate Plate Based	12/13/13	LCSET-4824	3/23/14	TrueSeq.v1
GTEX-145ME-1526-SM-5Q5F2	Breast	Breast - Mammary Tissue	BP-48437	RNA Extraction from Paxgene-derived Lysate Plate Based	1/17/14	LCSET-4953	3/27/14	TrueSeq.v1
GTEX-146FH-0826-SM-5SI8T	Breast	Breast - Mammary Tissue	BP-47616	RNA Extraction from Paxgene-derived Lysate Plate Based	12/18/13	LCSET-5174	4/4/14	TrueSeq.v1
GTEX-14AS3-1626-SM-5S2OY	Breast	Breast - Mammary Tissue	BP-48564	RNA Extraction from Paxgene-derived Lysate Plate Based	1/22/14	LCSET-4988	3/31/14	TrueSeq.v1
GTEX-Q2AG-0326-SM-48U1O	Breast	Breast - Mammary Tissue	BP-19901	RNA isolation_PAXgene Tissue miRNA	11/4/11	LCSET-3084	4/18/13	TrueSeq.v1
GTEX-QDT8-0626-SM-48TYW	Breast	Breast - Mammary Tissue	BP-20205	RNA isolation_PAXgene Tissue miRNA	11/18/11	LCSET-3084	4/18/13	TrueSeq.v1
GTEX-QVJO-1826-SM-447C9	Breast	Breast - Mammary Tissue	BP-20981	RNA isolation_PAXgene Tissue miRNA	12/20/11	LCSET-2912	4/12/13	TrueSeq.v1
GTEX-R53T-1526-SM-48FEK	Breast	Breast - Mammary Tissue	BP-21338	RNA isolation_PAXgene Tissue miRNA	1/11/12	LCSET-3057	4/18/13	TrueSeq.v1
GTEX-RU72-0626-SM-46MUI	Breast	Breast - Mammary Tissue	BP-21838	RNA isolation_PAXgene Tissue miRNA	1/26/12	LCSET-2933	4/16/13	TrueSeq.v1
GTEX-S32W-2026-SM-4AD6E	Breast	Breast - Mammary Tissue	BP-22720	RNA isolation_PAXgene Tissue miRNA	2/28/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S341-1526-SM-4AD6K	Breast	Breast - Mammary Tissue	BP-22766	RNA isolation_PAXgene Tissue miRNA	2/29/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4UY-0726-SM-4AD6X	Breast	Breast - Mammary Tissue	BP-22893	RNA isolation_PAXgene Tissue miRNA	3/6/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-SE5C-2126-SM-4BRUJ	Breast	Breast - Mammary Tissue	BP-23387	RNA isolation_PAXgene Tissue miRNA	3/26/12	LCSET-3152	5/27/13	TrueSeq.v1
GTEX-T5JW-2026-SM-4DM63	Breast	Breast - Mammary Tissue	BP-26178	RNA isolation_PAXgene Tissue miRNA	6/12/12	LCSET-3205	5/31/13	TrueSeq.v1
GTEX-T6MO-0326-SM-32QOK	Breast	Breast - Mammary Tissue	BP-24889	RNA isolation_PAXgene Tissue miRNA	5/1/12	LCSET-1667	9/2/12	TrueSeq.v1
GTEX-TML8-1226-SM-32QON	Breast	Breast - Mammary Tissue	BP-25072	RNA isolation_PAXgene Tissue miRNA	5/7/12	LCSET-1667	9/2/12	TrueSeq.v1
GTEX-U3ZN-1926-SM-4DXSG	Breast	Breast - Mammary Tissue	BP-25560	RNA isolation_PAXgene Tissue miRNA	5/22/12	LCSET-3206	6/4/13	TrueSeq.v1
GTEX-UJHI-1426-SM-3DB9C	Breast	Breast - Mammary Tissue	BP-25967	RNA isolation_PAXgene Tissue miRNA	6/5/12	LCSET-1898	9/11/12	TrueSeq.v1
GTEX-VJWN-0726-SM-3GIJ8	Breast	Breast - Mammary Tissue	BP-26943	RNA isolation_PAXgene Tissue miRNA	7/3/12	LCSET-2024	9/11/12	TrueSeq.v1
GTEX-WI4N-1426-SM-3LK7H	Breast	Breast - Mammary Tissue	BP-27969	RNA isolation_PAXgene Tissue miRNA	7/25/12	LCSET-2234	12/16/12	TrueSeq.v1
GTEX-WRHU-0326-SM-3MJFY	Breast	Breast - Mammary Tissue	BP-28511	RNA isolation_PAXgene Tissue miRNA	8/1/12	LCSET-2269	11/19/12	TrueSeq.v1
GTEX-WXYG-2226-SM-4E3IM	Breast	Breast - Mammary Tissue	BP-36063	RNA isolation_PAXgene Tissue miRNA	2/12/13	LCSET-3416	7/12/13	TrueSeq.v1
GTEX-WYBS-0926-SM-3NM94	Breast	Breast - Mammary Tissue	BP-29435	RNA isolation_PAXgene Tissue miRNA	8/14/12	LCSET-2351	12/16/12	TrueSeq.v1
