gtexV6-xena	gtexV6-recount	gtexV6-mskcc	xena-recount	xena-mskcc	recount-mskcc
MMP23B	361	3	215	3	0	1
PEX10	0	1429	0	1185	0	963
FAM213B	0	193	0	0	0	0
MMEL1	24	25	21	0	0	0
RPL22	0	0	0	122	0	360
ICMT	0	38	0	0	0	0
THAP3	0	97	0	47	0	20
CAMTA1	1871	0	1873	1868	0	1871
UTS2	0	424	0	425	0	425
TARDBP	1890	0	0	1890	1890	0
NPPA	3	4	3	109	0	118
DDI2	0	215	0	0	0	0
SZRD1	136	1681	274	0	0	0
SPATA21	0	898	0	898	0	898
IFFO2	17	526	20	0	0	0
UBR4	244	0	298	256	0	326
MINOS1	1890	1423	1890	698	0	790
NBL1	1781	1793	1786	0	0	0
LDLRAD2	22	1811	196	1805	0	1801
CELA3A	0	9	0	19	0	18
RCAN3	0	21	0	0	0	0
AUNIP	0	548	0	548	0	548
ZNF593	1	0	1	1774	0	1774
SH3BGRL3	1862	1890	1864	0	0	0
UBXN11	0	42	0	71	0	51
EPB41	0	65	0	0	0	0
TMEM200B	94	1276	107	243	0	154
IQCC	0	0	0	0	0	23
DCDC2B	0	83	0	95	0	95
TSSK3	0	357	0	347	0	322
SYNC	0	284	0	665	0	145
HPCA	0	267	0	267	0	267
EVA1B	0	54	0	2	0	3
C1orf122	73	10	13	0	0	0
MYCBP	108	996	133	0	0	0
MACF1	400	0	483	563	0	708
BMP8A	0	0	0	30	0	25
HYI	0	57	0	0	0	0
MMACHC	0	1841	0	1861	0	1867
ZCCHC11	8	0	0	145	0	37
ECHDC2	0	0	0	362	0	334
TMEM59	0	0	0	121	0	0
FAM151A	0	181	0	204	0	204
TTC4	79	937	118	0	0	0
FGGY	18	0	18	94	0	77
RAVER2	0	33	0	0	0	0
LRRC8D	7	101	7	0	0	0
AMY2A	0	52	0	47	0	47
AMY1A	0	20	0	19	0	19
AMY1B	0	170	1	169	0	168
AMY1C	63	60	55	2	0	2
GPSM2	0	49	0	35	0	32
GNAI3	1842	1842	1	0	866	0
GSTM2	0	1	0	1042	0	975
GSTM1	0	389	0	389	0	389
NBPF9	0	10	323	3	0	0
PDE4DIP	0	0	1078	663	0	1686
NOTCH2NL	33	0	305	0	0	11
NBPF10	1	0	0	4	1040	0
NUDT17	0	746	0	964	0	963
NBPF11	6	754	334	22	0	8
NBPF12	2	1262	0	24	0	699
NBPF14	54	35	0	1	40	14
NBPF15	5	224	3	0	0	0
HIST2H4A	74	69	53	0	1	1
HIST2H2AA3	1412	1663	0	20	1412	1663
HIST2H2AA4	694	1644	1680	479	574	0
HIST2H4B	3	69	12	16	3	10
C1orf54	0	19	0	157	0	189
ANXA9	2	0	2	191	0	193
C1orf56	0	807	0	1684	0	1708
SPRR2B	4	218	2	232	1	228
SPRR2G	53	0	54	65	0	65
RPS27	1890	677	1890	1890	0	1890
PYGO2	4	0	1	208	0	213
CKS1B	350	0	8	2	1381	43
EFNA3	32	217	35	0	0	0
HCN3	3	35	3	0	0	0
SSR2	0	20	0	0	0	0
BGLAP	0	62	0	86	0	87
TMEM79	0	203	0	250	0	256
C1orf204	0	35	0	32	0	32
DCAF8	916	269	896	0	0	0
PEX19	502	1444	804	0	0	0
F11R	1182	1395	1191	0	0	0
TOMM40L	33	92	33	0	0	0
SDHC	0	558	0	1838	0	1070
C1orf226	13	269	13	0	0	0
MGST3	3	0	163	1747	0	1832
ATP1B1	0	150	0	0	0	0
NME7	0	56	89	49	81	1
IER5	361	0	0	0	0	0
ARPC5	0	29	0	0	0	0
CFHR1	3	210	3	238	0	238
PPP1R12B	1049	1030	928	0	0	0
YOD1	2	79	2	0	0	0
H3F3A	1890	1757	1889	844	0	68
JMJD4	49	0	57	0	0	0
RHOU	7	0	0	0	86	0
ACTA1	0	38	0	465	0	474
NTPCR	1383	0	1446	1002	0	1163
RBM34	1746	1397	1765	0	0	0
EDARADD	0	168	0	192	0	190
LGALS8	121	72	145	0	0	0
HEATR1	0	0	0	204	0	296
CHRM3	6	94	6	0	0	0
OPN3	0	26	0	19	0	20
SDCCAG8	6	0	213	0	0	0
COX20	80	0	25	133	0	66
TRAPPC12	46	0	31	147	0	99
RPS7	0	1890	0	1890	0	1890
ADAM17	0	4	0	27	0	19
ATP6V1C2	1	1728	1	1728	0	1728
FAM84A	19	42	7	0	0	0
RDH14	68	840	63	0	0	0
GDF7	0	7	0	0	1	42
FKBP1B	14	112	15	0	0	0
FAM228B	343	0	69	0	0	0
CENPO	0	1002	0	1034	0	1024
CGREF1	0	107	0	100	0	100
TCF23	0	1	0	0	0	27
IFT172	59	0	59	39	0	39
PPP1CB	67	687	84	0	0	0
SPDYA	0	1226	0	1224	0	1226
MEMO1	531	0	567	0	0	0
SLC3A1	1	42	1	42	0	42
PREPL	0	23	0	0	0	0
RHOQ	733	1354	721	0	0	0
PIGF	0	112	0	97	0	74
CALM2	1	749	0	0	0	0
STON1-GTF2A1L	0	490	0	461	0	426
GTF2A1L	3	200	0	4	0	19
GPR75-ASB3	7	502	7	0	0	0
RPS27A	0	1890	0	415	0	362
CCDC85A	56	0	56	118	0	121
VRK2	0	61	0	0	0	0
KIAA1841	0	0	146	0	102	116
USP34	66	0	94	0	0	0
AAK1	124	38	0	0	23	7
ZNF638	45	0	57	1	0	0
BOLA3	0	1521	0	47	0	35
MTHFD2	0	19	0	13	0	7
SLC4A5	30	159	29	0	0	0
DCTN1	7	0	19	0	0	0
WBP1	47	104	56	0	0	0
CCDC142	0	91	0	171	0	209
GGCX	0	460	0	274	0	210
CHMP3	1789	1724	1798	0	0	0
RNF103	37	0	19	0	0	0
RGPD1	9	76	4	66	0	66
PLGLB1	83	89	84	0	0	0
PLGLB2	24	2	23	2	0	2
RGPD2	3	92	2	83	0	82
ANKRD39	3	14	1	10	0	10
LIPT1	2	22	2	0	0	0
EIF5B	15	0	23	0	0	0
RPL31	1889	0	1889	1890	0	1890
RGPD5	9	7	35	0	1	0
KYNU	0	84	0	26	0	11
NEB	21	0	34	6	0	17
MARCH7	0	69	0	86	0	46
CD302	1	1008	0	888	0	834
