gene	corr_XENA_Toil	corr_Piccolo_Lab	corr_Recount2	corr_MSKCC_norm	corr_MSKCC_BATCH
SAMD11	0.984693044532126	0.992569347195498	0.696775622216459	0.98387013180316	0.978955086700919
NOC2L	0.972437215713776	0.981819957443538	0.991711474489851	0.982765272342631	0.974518290640219
KLHL17	0.966276325338283	0.990250651489237	0.9985294355469	0.980749587680611	0.888305933009086
PLEKHN1	0.972108509678359	0.999012647104456	0.995909400292239	0.984815314615062	0.975304451578409
HES4	0.96090393265175	0.999170260576189	0.997347513913471	0.989760962274584	0.953322132155103
ISG15	0.985570493172777	0.999662726222996	0.999124816413868	0.996667215633359	0.993237544514428
AGRN	0.973854225362574	0.999395657931227	0.99948153518839	0.979241351304668	0.973870865274427
RNF223	0.971884084937536	0.869741500259528	0.959985451863086	0.976711668637621	0.96401726141847
C1orf159	0.970397998248496	0.992421743555427	0.99734631405335	0.983159189651456	0.945018759057088
TTLL10	0.854371288824398	0.938840238121244	0.961744456904899	0.859631004707501	0.850187011912761
TNFRSF18	0.971149299990014	0.998506677416109	0.998394423136617	0.99191380655089	0.982321329527309
TNFRSF4	0.970988120250411	0.998662678862578	0.998570336381143	0.987761181256965	0.975308660519075
SDF4	0.929595498097855	0.996181803818741	0.997922063489928	0.954740899155785	0.936401831998029
B3GALT6	0.978301217487306	0.997901282643541	0.997703451937858	0.983958224758855	0.976464806301237
UBE2J2	0.939169723565553	0.996021697205187	0.996863187572766	0.963304951015409	0.955357588280461
SCNN1D	0.967280375834033	0.988301873945494	0.997039680436336	0.97744426760256	0.914296731902525
ACAP3	0.970560347400949	0.995956672560997	0.998297478674364	0.980293751600429	0.88003822538075
PUSL1	0.970506599081658	0.996165909112927	0.992185453789053	0.986751590415081	0.975262760529165
TAS1R3	0.986344626007852	0.985021746244143	0.992040967165478	0.990658522062816	0.98522334409919
DVL1	0.967439644584639	0.998430017346847	0.998338073885971	0.987575489572252	0.967997170941324
MXRA8	0.993754266897023	0.999547132979413	0.999651969879234	0.99551556251355	0.981127550263163
AURKAIP1	0.931369570013339	0.997914361620423	0.998560517348729	0.981455676704929	0.976084398212044
CCNL2	0.980033978164325	0.997930388060486	0.998521397845628	0.988328137904874	0.899092835594735
MRPL20	0.960850527165398	0.994410951310136	0.997791697599774	0.973424697527446	0.967802313579027
ANKRD65	0.993951369011718	0.998038300450566	0.999514019685508	0.993116932158877	0.98732104764418
TMEM88B	0.711776440675622	0.825130091450835	0.87828853311444	0.712434834191458	0.710589266489559
VWA1	0.967700303305992	0.999196313298132	0.99910922802648	0.982014556586011	0.956740754245077
ATAD3C	0.958683694163659	0.972203287326249	0.918282953528511	0.960703187491877	0.952265894955852
ATAD3B	0.972296944078521	0.975110065718964	0.98404291146322	0.979054335941832	0.941396747991018
ATAD3A	0.953724159729122	0.994964438961126	0.994773218213832	0.980846063734006	0.972406547021872
TMEM240	0.935046920809318	0.924601829172643	0.992902494835156	0.837957501217102	0.830029044007353
SSU72	0.933523162017288	0.947019256590886	0.99856087957201	0.949672241760815	0.939715980126701
MIB2	0.925645214260622	0.993753950114218	0.998035044910244	0.926117822597357	0.894050527231289
MMP23B	0.6935883890569	0.645779640555963	0.741091558778064	0.682097610003422	0.668438894012302
CDK11B	0.957446453936623	0.969445621152501	0.984873700998515	0.94757360219889	0.92704290533969
SLC35E2B	0.974273214020738	0.99508336144256	0.990106113769064	0.976432800388635	0.960035753665746
CDK11A	0.942734842331521	0.920530166641694	0.885740195674336	0.924192287369968	0.865462006272546
SLC35E2	0.970194110952419	0.838287018070373	0.943632351993	0.94517101566335	0.928537974061631
NADK	0.963289191714535	0.996761711122086	0.993923840928256	0.965971424716083	0.928609374578988
GNB1	0.964763373006872	0.99735336441666	0.998638373257901	0.963026261911102	0.950157374447812
CALML6	0.921462811298335	0.906037698411505	0.978099373855694	0.937909077768417	0.913495624346699
TMEM52	0.957207444455686	0.98826971787537	0.99940907458068	0.987529139480911	0.981620152231711
GABRD	0.982875017579376	0.993928846523935	0.998446873944546	0.994789760304829	0.991376879785939
PRKCZ	0.982426259995606	0.994632245757077	0.977586085544103	0.97445697761556	0.946929370204687
SKI	0.962141994495264	0.998639479912742	0.998659651872276	0.985678035804899	0.97268961216275
MORN1	0.967063705200798	0.964675108289926	0.998718442335764	0.962480567247311	0.951446757249691
RER1	0.87058738697847	0.972101430636489	0.898542840128138	0.917084212291668	0.885249803390699
PEX10	0.985095841436994	0.997738725995695	0.892038325865825	0.98199140200104	0.976745656402025
PLCH2	0.987083859558516	0.9977950647814	0.998288647185981	0.990722074056081	0.984116346323356
PANK4	0.953735986776672	0.996459960091092	0.998016762567185	0.957028038193812	0.9301275377994
HES5	0.951199011389073	0.919625696510323	0.970247482167341	0.957778340398554	0.941477509455639
TNFRSF14	0.987065282608859	0.995172889725052	0.998339149405651	0.991724157659372	0.974109387773786
FAM213B	0.988284857453094	0.99878149987297	0.996958206767161	0.993224195290332	0.985359022282561
MMEL1	0.921169350319597	0.977581729737742	0.785368709863926	0.929868708610716	0.920497449566912
TTC34	0.956978374729128	0.674602353770787	0.978233519424798	0.967932901721272	0.950923553529675
PRDM16	0.958462392297435	0.994915390589358	0.998263753898938	0.959753458576134	0.953113497585665
ARHGEF16	0.988307280928819	0.999146033376938	0.999557457737573	0.992951605980701	0.93144224259687
MEGF6	0.981260399056453	0.993960603988244	0.999110814771459	0.986600186092167	0.954579674307704
TPRG1L	0.977517907532734	0.996737410512184	0.998568770176379	0.979501777734205	0.959380301910968
WRAP73	0.96382037415126	0.990810335333778	0.998731763212983	0.962404712530825	0.93972706957361
TP73	0.991011540929862	0.988271500785752	0.981636516906882	0.988332380880699	0.985382764904407
LRRC47	0.872894372394937	0.994036129619901	0.998064143091103	0.945958978725221	0.923576404962941
CEP104	0.809226934732997	0.996840742470114	0.998500746535773	0.816484744669377	0.797830566119635
DFFB	0.976134911829722	0.997421362153728	0.998517408877322	0.970832818496823	0.94805667817832
C1orf174	0.964867529962759	0.993008839131954	0.99712648491617	0.965924861219456	0.948200067092267
AJAP1	0.961561835093966	0.971582925561397	0.997900599621491	0.965537437228189	0.956825786693058
NPHP4	0.984668919748328	0.997532862110996	0.999495574968105	0.992334915129106	0.972516290059994
KCNAB2	0.981340008341321	0.999025239579367	0.999495221478372	0.984077967417934	0.976951350292449
CHD5	0.871390471491257	0.931865278542748	0.977999713446137	0.870830596046877	0.85267580826189
RPL22	0.8613943135066	0.992423322187	0.97945947907109	0.897822569202966	0.872671587751397
RNF207	0.969455724484627	0.997475974986743	0.993159161977686	0.97545714790457	0.917714058438144
ICMT	0.938674141954041	0.997337393729741	0.998354646234116	0.954104254266417	0.944037457575297
GPR153	0.99554023561411	0.999490706366078	0.99970706787702	0.997672478080507	0.992983907303149
ACOT7	0.988630352592328	0.999144313937517	0.999133800937827	0.993843145035712	0.989021713780144
HES2	0.976985265735757	0.994361393033537	0.997875256412292	0.978680972084601	0.951293362534964
ESPN	0.982525089609148	0.994056019350747	0.986351735702584	0.985990019942625	0.956135544746473
TNFRSF25	0.983115398061815	0.996529553016327	0.998386445650937	0.987663979166309	0.960304291063515
PLEKHG5	0.991479282044922	0.999159740462672	0.99932653990144	0.993236067267427	0.976997309474332
NOL9	0.925363190352739	0.997157797505417	0.997904802814199	0.953007249741389	0.941205213285235
TAS1R1	0.901939253703762	0.953016172122496	0.97983153374582	0.917946889730562	0.911287005763202
ZBTB48	0.942957779419708	0.996041454538926	0.996795398212178	0.945855817625728	0.912887953103675
KLHL21	0.987617753204773	0.998634885356699	0.998954435062289	0.991709259919427	0.954884986060838
PHF13	0.982951271005221	0.998291330494258	0.998838025703022	0.986559869530563	0.964347910466883
THAP3	0.953676204045755	0.996409124056953	0.737327887873859	0.962624766023269	0.929734734876668
DNAJC11	0.96093521836136	0.996863187682075	0.917618512856333	0.961053918639708	0.946420470314372
CAMTA1	0.881584144542233	0.997289925951088	0.998213096484729	0.884594215407225	0.867762820870109
VAMP3	0.970506091679572	0.997861180387998	0.997872917465181	0.978148132014191	0.975004203540639
PER3	0.986200294640035	0.999228352897772	0.999173888036677	0.993368952794756	0.985567127152796
UTS2	0.846848510567332	0.967978570366607	0.136770630497218	0.849948630918568	0.84534647027601
TNFRSF9	0.97376587279568	0.992805320734528	0.996369445597343	0.950918971514819	0.937611194007202
PARK7	0.939479400871694	0.997198683206748	0.998158904157218	0.971674303223413	0.961404944021066
ERRFI1	0.990038127840291	0.999468134526477	0.998934633413058	0.995181921928799	0.991097320335534
SLC45A1	0.9816937164337	0.892394041212956	0.998091437816804	0.98843786369529	0.970029687612513
RERE	0.962276736185245	0.999164747033002	0.999529462444297	0.976344014644986	0.970048905662947
ENO1	0.986053801473504	0.998434423924941	0.999517479161578	0.993937328952605	0.991764472954884
CA6	0.792537342581729	0.898550887723103	0.874133910638537	0.794714759198047	0.793145356975168
SLC2A5	0.986272033334772	0.996385904322946	0.99857812458124	0.990069206305518	0.985340242671837
GPR157	0.944191447281224	0.886019381221768	0.999241350577356	0.955619148879077	0.956386881823607
H6PD	0.98219781320029	0.998110139773622	0.998722183817146	0.990077570172396	0.980787626983772
SPSB1	0.981696150108294	0.999360481273742	0.999300042469919	0.985979542784752	0.983906531826335
SLC25A33	0.990893474588954	0.985425852621162	0.997010390192985	0.991320129765489	0.985028798888006
TMEM201	0.976792140821233	0.998438188713202	0.999004501913241	0.989572394048751	0.981142524894192
PIK3CD	0.992683235909699	0.999492030713939	0.96024671564862	0.993776058104204	0.988763287976057
CLSTN1	0.985591189227056	0.999145528631531	0.999490135744308	0.988170860445199	0.981260122716721
CTNNBIP1	0.87953136891456	0.998951624815005	0.999366220704693	0.900239498770207	0.894923831066649
LZIC	0.941647901260573	0.987367080695652	0.996258693799213	0.950693684240933	0.916452888218002
NMNAT1	0.957873097155425	0.996830553919385	0.997411121741858	0.960793057659815	0.943210766175906
RBP7	0.991483049438356	0.998017920919597	0.999599509425539	0.995835065407262	0.992774159659352
UBE4B	0.954967793078346	0.998173493357156	0.998754052226024	0.971670256528915	0.953442600339556
KIF1B	0.948263660702463	0.99799827336676	0.998593395145891	0.980113239028791	0.971775596185838
PGD	0.988561298338848	0.999279364719244	0.999457832614618	0.991938577384171	0.982048865784994
CORT	0.8106790883156	0.919952774930512	0.726274820741774	0.802531029171934	0.788805935105685
DFFA	0.85946960821562	0.895303840423878	0.998425570684815	0.862070696941647	0.838877286432074
PEX14	0.95558627735511	0.996406832572537	0.990734969259063	0.967435787555637	0.962832903217416
CASZ1	0.973296902247665	0.995976078906732	0.996192500066463	0.980591840757019	0.975825986648549
C1orf127	0.909186737773494	0.967177052895576	0.984367702546405	0.922765938160648	0.913373144424774
TARDBP	0.210424144927419	0.972983139786243	0.975704163027509	0.937146925224007	0.883794314188672
MASP2	0.974854039362785	0.951282583165723	0.977093621812008	0.982468178242711	0.968568291244498
SRM	0.959572475500061	0.998470682618528	0.998359384460331	0.984056692860115	0.969200120850752
EXOSC10	0.968115882732891	0.997478452662977	0.997379646184029	0.972374954464304	0.934821211815545
MTOR	0.910922443138666	0.99792584500605	0.998989637867252	0.963125732020914	0.938835134326442
ANGPTL7	0.884809618550385	0.966432440043719	0.974106423458458	0.89386084396468	0.884860479018795
UBIAD1	0.957233893418958	0.996522375011458	0.998260563167898	0.962465217651323	0.945483792432201
FBXO2	0.99225938024605	0.998170513993114	0.998280419713221	0.996802428483859	0.991534707364848
FBXO44	0.97972747023807	0.998870410696278	0.998458522616447	0.987161634703279	0.951747793670887
FBXO6	0.979153610971689	0.996982412757765	0.997931258479143	0.989102188440681	0.982736618332435
MAD2L2	0.977649310729059	0.998415503842321	0.998273693297747	0.988063229156559	0.97470304496107
AGTRAP	0.983867237709065	0.998731809649597	0.998952975201112	0.991138450582633	0.984512691244907
MTHFR	0.973100577183378	0.996959335927091	0.997403614377302	0.979752366442265	0.973770045455425
CLCN6	0.96174843052313	0.998076928866036	0.998833807573683	0.983603586061223	0.923326112519887
NPPA	0.679781988535729	0.746045156576159	0.754237378025834	0.69299239862399	0.668119050215444
NPPB	0.854693142792871	0.653076618597903	0.620325823937698	0.857773724986992	0.852754501861115
KIAA2013	0.955554586153801	0.996762619194707	0.997412870481633	0.977965948431187	0.961636113267928
PLOD1	0.983268132351696	0.998799049425264	0.998659193079391	0.98836097858823	0.981546372992299
MFN2	0.977538610725293	0.997822084298634	0.998323751512325	0.978594647373029	0.970833151109736
MIIP	0.969038241463418	0.997757217235922	0.998517442960345	0.986476634306813	0.968416666458674
TNFRSF8	0.964890780078675	0.989397443063582	0.997959460158489	0.985420879854093	0.984253003254382
TNFRSF1B	0.993740097126265	0.999310327840718	0.999113454531909	0.995271522865677	0.99025766648064
VPS13D	0.915656424458534	0.998923180524066	0.999099856260954	0.917640335684008	0.895709603658147
DHRS3	0.99492331349596	0.99954176571459	0.999578384354224	0.996514193800064	0.993641159583533
C1orf158	0.895957418995836	0.887948507249324	0.885315580565975	0.893910901692941	0.876893608850341
LRRC38	0.965049887729217	0.891212131272197	0.926507289650142	0.969376049679965	0.968378484754347
PDPN	0.992347413353618	0.997719143950246	0.998093929813974	0.993768704522136	0.989509812174095
PRDM2	0.955878034504388	0.998920401132216	0.998271006257559	0.979234709741211	0.95319188299106
KAZN	0.991449970703683	0.999210382431913	0.980244406487447	0.993251800822937	0.99111073150946
TMEM51	0.994389976380769	0.999456010506585	0.999585526474235	0.995912307297033	0.994741073526114
FHAD1	0.946233125427803	0.989390478852613	0.986436802917641	0.952171914615611	0.945260139958572
EFHD2	0.990707000180436	0.999355580104261	0.999304094577366	0.995071689084159	0.989947061741252
CTRC	0.785854811067435	0.804856694024251	0.848023277756177	0.793097610308322	0.78380279251773
CELA2A	0.455491723599578	0.72010904339121	0.754077606308938	0.458164853732876	0.450335717497662
CELA2B	0.219421577621441	0.562848121012303	0.637970421554393	0.220292415171139	0.218541890925012
CASP9	0.980593428245041	0.996250398175616	0.998897003417669	0.98371983593926	0.971931501817758
DNAJC16	0.940727475686176	0.995026713536641	0.996952100971627	0.956041488901443	0.947112345931201
AGMAT	0.993699196597876	0.998543635939416	0.998101354415212	0.994427478010324	0.955399800939124
DDI2	0.948528328227226	0.755283145228414	0.994495819418389	0.976007484252479	0.967281014986547
RSC1A1	NaN	NaN	NaN	NaN	NaN
PLEKHM2	0.972877933054858	0.997890252315323	0.998360426803769	0.977391695156993	0.958269715973981
SLC25A34	0.962489162861575	0.992610053871001	0.996145678994498	0.968615441083233	0.948899866246328
TMEM82	0.934551092749329	0.936375955604808	0.964322406354892	0.937543229186018	0.918956280029994
FBLIM1	0.983389895145167	0.999156865032719	0.999638092464751	0.987675106545672	0.977812251053263
SPEN	0.878699133184802	0.998873425818048	0.998844597752366	0.935506303626376	0.907872973038132
ZBTB17	0.92969734720821	0.997213126283669	0.997795641682533	0.945927916438527	0.88516801457102
HSPB7	0.985284435014468	0.994720654942147	0.998118161318174	0.988713535376929	0.976224857363331
CLCNKA	0.941325956670996	0.941382961582655	0.955034499201417	0.945331429728931	0.924205003433055
CLCNKB	0.955370162913613	0.956899399813843	0.95542603951301	0.960425918581849	0.956489460352028
FAM131C	0.946203786590835	0.963709409000176	0.961552843099537	0.95692443440796	0.952893574012222
EPHA2	0.996314244590369	0.9996228447762	0.99971780059859	0.997577022907451	0.993614829539147
ARHGEF19	0.988739955887308	0.999581332983969	0.999531449626465	0.991406121431437	0.989298434878958
RSG1	0.92751663354852	0.997798472344162	0.998222537046911	0.956283270703492	0.941430007517624
FBXO42	0.93275264571952	0.982876111449742	0.998526460073968	0.938859073087741	0.921262013446988
SPATA21	0.702333228447745	0.794407452152099	-0.0546733011398111	0.400582107201986	0.418074749383483
NECAP2	0.974506968169625	0.996593991507076	0.998195450291455	0.977917673943622	0.962064278640772
NBPF1	0.96644606432593	0.881278678090958	0.977332671927777	0.975666308920097	0.972390614061495
CROCC	0.942897283800067	0.998811044459878	0.997652920682965	0.960070508906985	0.907229014665395
MFAP2	0.99405104781215	0.996931899770756	0.998830858043903	0.99554635021262	0.9915987657932
ATP13A2	0.973243591643282	0.998685447154927	0.999127076255354	0.982207160443425	0.969072233988706
SDHB	0.948538084305533	0.99459615049523	0.995790741100529	0.956927306430361	0.930368339614753
PADI2	0.996832666855173	0.999696196865966	0.999789529333028	0.997759043143342	0.948154254535809
PADI1	0.969311379640967	0.971992294956484	0.984479700066762	0.971026085021588	0.96520556682978
PADI3	0.972483960592648	0.975122182218397	0.98836498300747	0.97424440385268	0.972801902243438
PADI4	0.888846310000328	0.935698508513292	0.956201107592449	0.896672358829572	0.881635169474117
RCC2	0.991676206837514	0.998424175134288	0.998743367502885	0.993129517820507	0.987067544302051
ARHGEF10L	0.987042131352954	0.9988629084661	0.999365099697046	0.989520167224014	0.979390769783842
IGSF21	0.985475301681428	0.990246655290931	0.996988775340121	0.987708503668369	0.984934783616944
KLHDC7A	0.989246208436086	0.982982774072032	0.993111367829355	0.989989101453522	0.976297873226113
PAX7	0.940206708425771	0.898877458486344	0.949794665300927	0.94329017626427	0.94254694469988
ALDH4A1	0.98605778863909	0.994523172172071	0.995284621684079	0.989382417759519	0.984669541921279
IFFO2	0.975468686509678	0.997562115087001	0.997725215480187	0.980332551535683	0.9729352492954
UBR4	0.440099930307799	0.996433099897292	0.994774546212073	0.645778072370495	0.596131048071019
MRTO4	0.971072699212852	0.996872126347419	0.997744092348448	0.981703295443897	0.975108297867826
AKR7A3	0.994181919409439	0.99224840612646	0.995323055183591	0.996414348099589	0.980092635329683
AKR7A2	0.97470751015625	0.994622241694771	0.997566149821615	0.981797939727814	0.965733185812442
PQLC2	0.966811722729936	0.993253585004737	0.997565423080526	0.978052521965843	0.957665483849921
CAPZB	0.93117060204106	0.996671658459133	0.9972235692217	0.965041835738101	0.956244628390233
MINOS1	0.880339602920364	0.966154071209652	0.959266698310029	0.883861633314151	0.87773760176761
NBL1	0.978296592260823	0.851057679444098	0.988999209623416	0.974913853276337	0.973845268994871
TMCO4	0.98767546824349	0.999051215124938	0.999433317627088	0.989160715622712	0.986220062232902
RNF186	0.984581767222131	0.96670947403571	0.978881966987166	0.986502882662028	0.976371319631099
OTUD3	0.953593556363496	0.995410201385843	0.999188760839669	0.974698164030983	0.942762370954101
PLA2G2A	0.98755446869439	0.994441105059182	0.996105002233296	0.989427813228366	0.982587650359929
PLA2G5	0.976497821403371	0.978522988717364	0.989867339571182	0.978078382380552	0.968241819363805
