gene	corr_protein_GDC	corr_protein_PiccoloLab	corr_protein_mskcc_BATCH	corr_protein_mskcc_Norm	corr_protein_Recount2	corr_protein_Xena_Toil
AR	0.853186268752884	0.852942806980631	0.856075697634573	0.849462154177639	0.85476918732777	0.848934498182401
ESR1	0.839906984913876	0.835625205681068	0.834767182436468	0.834947093131963	0.840006320405126	0.833009060784149
BCL2	0.82655725476816	0.825683530747536	0.819552936800509	0.819661126155715	0.826737392838118	0.813491451823362
IGFBP2	0.823602443564794	0.823633763440126	0.826536348708494	0.827910866702532	0.823521626650231	0.824131597287464
CCNB1	0.822702836704252	0.824467243016525	0.817819925348188	0.825733766226584	0.821453699104655	0.823321764923084
EGFR	0.800917818045053	0.76202253139971	0.802676328202111	0.796341011497706	0.800433452658177	0.793156423191654
CLDN7	0.772264935127273	0.773309465760964	0.59650821547145	0.758676910918337	0.7730435456307	0.756020989517991
CHEK2	0.740958745372381	0.740867010240408	0.70215259348805	0.722482839178893	0.733884011036475	0.718024481489003
PRKCA	0.732310527400349	0.727777217257637	0.707670294405913	0.708182390204906	0.733395041235094	0.708134678721377
CCNE1	0.700548307018011	0.702268589345292	0.707124203570103	0.700254570029876	0.697877929697828	0.700711737346987
GATA3	0.678665831459456	0.678206373382496	0.670824914646379	0.679689464953866	0.680097788776379	0.681723993519528
EIF4EBP1	0.673358376812434	0.679154276992083	0.682031306532438	0.68676666316233	0.672650432203148	0.678957935767382
SYK	0.671411430449956	0.668329685945211	0.583813036368172	0.649670651394107	0.671114841562734	0.65157717317119
ASNS	0.665774520789549	0.668542140321987	0.679781603655686	0.66920898434759	0.667237364050111	0.664461959688538
ACACA	0.657443297887231	0.648567323552013	0.671689139821106	0.677541437579689	0.657162680511068	0.679833686823867
SRC	0.652643196696923	0.649920455879644	0.639755575431804	0.641114118254617	0.653231087720388	0.641932849956168
ACACA	0.643944111741083	0.635682027697645	0.664027319930279	0.645368729322572	0.644925636081487	0.644663515638732
PRKCA	0.634392258750378	0.633374691401812	0.623348253775102	0.627054902074065	0.631680572919984	0.623316911405585
GAB2	0.60327418404683	0.599877233160262	0.586606902284463	0.586345201938472	0.602019668477614	0.584552534931577
KIT	0.59876347421674	0.59822538116554	0.611183541983042	0.591743610264176	0.600936235315628	0.589183396342612
SERPINE1	0.596520240693568	0.595767634088879	0.603840949584186	0.596431235265877	0.597506357508078	0.596640483924606
INPP4B	0.590338771274189	0.595224028627396	0.611540553541862	0.606715418409294	0.59419741129718	0.592669186558575
CDH1	0.586578345206857	0.584847496698591	0.465704882936642	0.575464203923357	0.588121611878616	0.57707488702578
EGFR	0.580153768074588	0.571903991287821	0.582876317378639	0.579425028504273	0.580337136194193	0.577051877857756
LCK	0.576707028313936	0.575871594140115	0.558024390951509	0.570723011428744	0.577421520697507	0.571995118948573
ERBB2	0.564320258369838	0.560946137305534	0.520309962551178	0.552139228385028	0.569391724998666	0.550134751417892
CAV1	0.557757725345567	0.558391935639646	0.561663102251359	0.557552430820858	0.558399576991216	0.557339224405837
ITGA2	0.541389063658521	0.535538649367969	0.49985865034648	0.519445222445136	0.541521383245574	0.516459593967436
IRS1	0.541040102845384	0.539980698479991	0.548462323590133	0.53148465942792	0.544997139968798	0.531263147130757
FN1	0.524262583877123	0.52122564416286	0.560014148191671	0.529432711289192	0.526088314926269	0.535555040863861
MAPK9	0.508300762423073	0.500785981343767	0.476965591314115	0.461635194318022	0.514414599607625	0.454018680332464
MAP2K1	0.506106137382238	0.508462808386593	0.4819135927709	0.475624893860465	0.504957833505801	0.477312482397104
BCL2L11	0.499886518408448	0.495067743814338	0.484184153837935	0.48223577433545	0.501932569095067	0.478596396798789
ESR1	0.471792470399148	0.468651894207055	0.470737075482638	0.468257997662446	0.472026721545696	0.46811087508504
NOTCH1	0.467384820819577	0.462458043027842	0.407710082539689	0.445940464664824	0.46605294533703	0.446441735065495
DVL3	0.452025001233972	0.451961599674328	0.406637462691805	0.419603437595259	0.450762184451108	0.417587790594696
PGR	0.446557053187246	0.443475895750358	0.457867094681265	0.440908732980361	0.447661640373067	0.439263713382545
ERRFI1	0.443470411736666	0.439695694464664	0.413881310481473	0.438774732958705	0.442230129937698	0.437614050363078
PRKAA1	0.433835633729475	0.427160381478339	0.337085544476996	0.339810374817812	0.434112106085291	0.348390404022554
ERBB3	0.428560055348071	0.429182508478773	0.455838817033276	0.435044257653439	0.426971765494816	0.430483117149504
STAT5A	0.424724581169672	0.413175920196331	0.413708801896041	0.408794141427272	0.417519725051844	0.415448432946198
TP53BP1	0.417205061639199	0.436939923038093	0.459996826325206	0.455074776970847	0.437293405311826	0.450212783569694
CCND1	0.402017990045414	0.401275636525517	0.389161933832232	0.390839607677064	0.402067822152472	0.396035084664996
BAX	0.395731173687687	0.403470619840663	0.403779569039787	0.378191659894911	0.390690405902103	0.381028503325549
EEF2K	0.394597098571211	0.391051004951419	0.313617800009098	0.380140345634709	0.394382058531347	0.366691974679145
YAP1	0.389996950627128	0.384101284029215	0.3379159678081	0.337455084086514	0.378604719831419	0.311825427947195
EGFR	0.38986250223924	0.384305999966952	0.387161958950019	0.384690997879791	0.390898854098795	0.386655038647949
RPS6KB1	0.380614700861516	0.377157151882024	0.319479241954173	0.349769982898903	0.381923267583094	0.320719838400193
PCNA	0.378094699704008	0.369328580743143	0.334945389577211	0.363117883931526	0.376228098408502	0.357146415726274
ATM	0.377942345427277	0.37357462875445	0.324689903121077	0.340707370031215	0.379719169714935	0.3452333804419
PARK7	0.367665659394693	0.378479086848333	0.372564905667829	0.380483981985457	0.365359668012243	0.372516189847681
TP53	0.353113482152833	0.34900014292167	0.319461758088449	0.339590170527668	0.352156035184767	0.342294119603127
EIF4E	0.349213762432839	0.401053971888678	0.296717524338767	0.321292566055913	0.373572307446496	0.344066433358387
MAPK1	0.340408799646624	0.333720757276157	0.158013071720144	0.16427098667114	0.341202503170722	0.148806550146889
MET	0.319607230728486	0.31846997946078	0.306894417422894	0.305403195082482	0.319951145055231	0.307507469774669
CHEK2	0.318682954269904	0.321590996495441	0.316808931182075	0.316325059569462	0.315412548804441	0.312043296385708
CDH2	0.316272322546505	0.315753136506072	0.329586313949082	0.309923654039876	0.31646372568958	0.312213612863456
SMAD3	0.313156451798879	0.314131517281057	0.304595154220928	0.28988729961144	0.312697271234079	0.299950927854796
NF2	0.312465639109901	0.312355321922053	0.303675532606902	0.276981890726901	0.309151455009307	0.259730568326384
XRCC1	0.310824253175418	0.307382450424402	0.31224408059377	0.284358541259872	0.313347501777727	0.278253131737413
YAP1	0.305432312171167	0.307673524585877	0.307512617857207	0.302584497743288	0.295478949135562	0.295731361800929
JUN	0.30433915091262	0.307705816484375	0.300322696878862	0.31366585367049	0.302364509304722	0.314636936374369
CDH3	0.297258971651898	0.29625972373653	0.295524364173943	0.29364938356591	0.297718064346355	0.296390882134664
PEA15	0.294595448684576	0.294532613776373	0.279385879639908	0.25501384350057	0.294507329040926	0.241288771732418
SMAD1	0.294162909693468	0.335441969426699	0.24011174995443	0.251948135941146	0.296225504817722	0.251700176343488
EIF4EBP1	0.286235062389387	0.287684255801064	0.296414633729131	0.297273521919654	0.284573368995557	0.294199520185176
COL6A1	0.281244920730109	0.279865066145607	0.229807137994971	0.266687477236255	0.280532397677343	0.267301595317293
PTEN	0.28105254191623	0.281171326058399	0.283174892273461	0.26516116804691	0.280134258618255	0.27060072838382
AKT1	0.277720237075045	0.28197284407794	0.251125213566209	0.268708142289475	0.282627755146224	0.262084615821862
BCL2L1	0.275447219909958	0.270824898680509	0.247766755890277	0.251895029253352	0.279158729564836	0.254934987711364
CHEK1	0.250689684571516	0.25039610079038	0.257780361569365	0.265052796222523	0.252331421884294	0.266674915524688
GSK3A	0.248182411983407	0.231648747426188	0.258226783501495	0.254297925048797	0.22486910856137	0.25596301258032
CASP7	0.246539358347512	0.251776733723839	0.184856402228884	0.220413171513795	0.243413771939583	0.248977590309086
STAT3	0.243044325565869	0.245832077549559	0.273823143425165	0.23025647896656	0.24810373759377	0.232397364819246
XRCC5	0.229453511029575	0.223207557555815	0.203193530626635	0.185433080476335	0.233240357922172	0.194992630156853
RAF1	0.226353725883483	0.246170592460731	0.309701018155341	0.211675283965397	0.234082522650628	0.211900892617212
MAPK1	0.220181781797038	0.223741983511078	0.234230987035386	0.232017503477355	0.218387318372488	0.222920543379839
SMAD4	0.217856867282166	0.202472734513416	0.0869966343481681	0.0986301535475864	0.204204608647622	0.0902544953371962
RAD51	0.209019889812496	0.208242326437552	0.0674924920690332	0.179297566328009	0.208390120304114	0.17710517948669
EIF4EBP1	0.208656788884832	0.211124181643696	0.219273353984587	0.213904728822489	0.205425159925715	0.210916365907612
EIF4EBP1	0.20422899911963	0.202174143686016	0.19825137326575	0.195985827123376	0.205727203156701	0.199625649280594
SRC	0.200652030808735	0.21332321563681	0.260674581559826	0.239181619477911	0.198929101229057	0.246088538428481
BECN1	0.193016887270578	0.180001235086834	0.19444724542714	0.195474593427094	0.230389558545187	0.198781976994908
PXN	0.191991249421658	0.193214289542432	0.15932582684465	0.186945982233255	0.189117007227123	0.187909590872311
MYC	0.189539582334985	0.182901970792401	0.175821052599566	0.168700964040737	0.194042864287144	0.167582729429374
FOXO3	0.18658687902939	0.185446754558601	0.173912174978821	0.169274525523141	0.185866895160819	0.168612078863606
YWHAE	0.182371109860109	0.1900248398107	0.235598783057511	0.216904357452196	0.178282337099561	0.190261720013054
TSC2	0.180305171823049	0.181319730407061	0.175778898775625	0.180004667115517	0.184575064119855	0.174562136495977
PRKAA1	0.172179441606687	0.168101586828334	0.158498028093873	0.144082148708472	0.179193320211937	0.149034235753122
STMN1	0.168816202858932	0.170508787502996	0.185355488944667	0.173008826351904	0.165981481436015	0.170154140385242
RAD50	0.163949944589151	0.156931774331778	0.149283468873392	0.129849440813266	0.163958327642584	0.123740268585633
PIK3CA	0.16275812952537	0.171110311514614	0.166339780513846	0.164511414265651	0.166540782937425	0.149209906426293
STK11	0.160101539429212	0.162837340922529	0.144099136694961	0.140493829141442	0.157892549829915	0.132138439359115
MAPK14	0.158655605914203	0.166359593448416	0.188214641998988	0.175954893882672	0.154776206264718	0.181225801539144
YBX1	0.142542076195805	0.148195747793717	0.18787708494184	0.180418091172045	0.132502143258218	0.17893030368717
YBX1	0.141903825413105	0.154540433105899	0.1541072075558	0.141504261570566	0.153181137011265	0.140786341105904
NFKB1	0.125865698367649	0.129951144837983	0.156239210224809	0.151778403695093	0.121916493390419	0.149455221140091
MTOR	0.123817114718432	0.114302526145048	0.160950298252214	0.152407076296696	0.125405932211458	0.172614529915174
ERBB2	0.121447233919519	0.130838791651518	0.151757621182745	0.14118876314132	0.119400474830354	0.140114899842587
BID	0.10191484514091	0.0956178428623237	0.0158512529362365	0.0507715303855055	0.104675680057283	0.039311594154727
MAP2K1	0.0964692294012564	0.109105822380277	0.117336336260703	0.116543549525196	0.0870737817685573	0.122332752177101
CDK1	0.0934959363581372	0.0993097114124858	0.111415578391885	0.0969843294255177	0.0902058841072442	0.100616460674266
RPS6KB1	0.0923585821930131	0.0842019977955294	0.0053283930583967	0.0459425931033676	0.097940188570835	0.0338285947369735
BIRC2	0.0870776995220188	0.0838159973916344	0.103420852509137	0.0912754602624947	0.0865279210055443	0.0899194598505718
