gdc-xena	gdc-recount	gdc-mskcc	gdc-piccolo	xena-recount	xena-piccolo	xena-mskcc	recount-piccolo	recount-mskcc	mskcc-piccolo
SAMD11	1	160	1	0	224	1	0	198	214	1
CDK11A	975	2309	1156	0	1	7	0	23	0	31
SLC35E2	0	39	0	40	14	25	0	0	9	19
PEX10	0	353	0	0	524	0	0	227	235	0
MMEL1	141	121	121	0	35	247	1	182	21	238
RPL22	74	0	305	0	976	13	0	0	2033	40
THAP3	0	515	0	0	133	0	0	1308	75	0
CAMTA1	4693	0	4692	0	4709	4764	0	0	4707	4762
UTS2	0	438	0	0	438	0	0	430	439	0
GPR157	0	0	0	96	0	1	1	66	0	0
TARDBP	4761	0	0	0	4795	4783	4792	0	0	0
DDI2	6	0	0	475	5	17	14	766	0	2
RSC1A1	9	1544	2	35	1530	21	7	15	1544	30
SPATA21	0	3174	0	0	3179	0	0	3171	3179	0
NBPF1	50	0	75	127	21	12	11	1	0	0
UBR4	1173	0	1531	0	994	949	0	0	1341	1219
MINOS1	4780	0	4790	0	3334	4782	1	0	3855	4791
NBL1	18	125	19	3696	7	4263	3	4425	0	4284
PINK1	6	42	4	408	6	7	0	0	0	0
LDLRAD2	0	4528	84	0	4528	0	77	4528	4493	104
HSPG2	19	0	8	0	2	76	1	13	0	53
SRSF10	17	0	1	0	18	57	6	0	1	21
ZNF593	0	4716	0	4608	4714	4598	0	0	4716	4601
UBXN11	3	1033	1	0	1179	3	1	665	1063	1
HMGN2	1	0	2	9	2	73	0	15	1	68
TMEM200B	0	176	0	0	602	0	0	411	380	0
RBBP4	2	0	0	0	3	2409	0	8	0	3306
SYNC	0	2373	137	0	2409	0	148	2509	441	202
HPCA	0	1457	0	0	1478	0	0	1471	1478	0
AK2	0	0	0	0	0	98	0	0	0	80
MYCBP	0	0	0	3178	0	2069	0	3793	0	2103
MACF1	329	0	301	0	545	22	11	0	550	2
BMP8A	0	1	0	15	5	112	0	12	2	113
HYI	406	30	405	439	2	3173	2	3174	0	3225
MMACHC	0	4660	1	0	4763	0	0	4707	4788	0
UQCRH	2	0	0	0	2	104	2	0	0	92
ZCCHC11	102	0	4	0	148	20	16	0	12	0
ECHDC2	723	1	594	75	1508	15	13	212	1335	1
TMEM59	29	0	1	0	121	0	0	3	2	0
FAM151A	0	366	0	0	381	0	0	426	383	0
TTC4	371	2425	346	0	0	374	0	2426	0	350
FGGY	9	0	4	0	376	1	1	30	336	0
RBMXL1	3	4	0	0	1355	1	2	0	945	0
ALG14	0	0	0	1681	0	1432	0	1681	0	1373
AMY1A	9	140	8	0	133	9	2	140	132	8
AMY1B	13	211	43	1	202	14	15	211	145	43
AMY1C	353	336	328	0	5	353	1	336	7	328
CLCC1	1	63	0	0	179	2	1	16	166	0
GNAI3	2	0	3	1	1	4500	4043	69	6	0
GSTM4	5	4	1	58	4	5	0	0	1	6
GSTM2	2078	139	2048	1	922	15	5	80	871	1
GSTM1	8	147	1	1	143	9	6	140	136	2
ALX3	0	52	0	6	20	0	0	0	20	0
CEPT1	9	0	0	40	6	1	2	0	0	0
KCND3	0	0	0	107	0	1	1	79	0	0
WDR3	1	0	0	0	2	84	1	0	1	10
NBPF15	15	2	0	100	8	448	6	560	0	594
RNF115	1	0	0	0	1	2322	0	0	0	0
NUDT17	0	920	0	0	1557	0	0	1093	1490	0
RBM8A	1	0	1	750	120	4779	0	258	21	4794
LIX1L	4	0	2	40	3	4	6	26	0	0
NBPF10	5	212	676	3	71	2	638	8	0	586
NOTCH2NL	380	30	1295	361	25	24	20	0	258	0
ACP6	342	0	0	17	450	0	0	75	6	0
GPR89B	441	178	314	0	4	439	2	170	0	312
NBPF11	3	92	21	6	11	20	1	387	0	239
PPIAL4G	0	0	0	853	0	853	0	853	0	853
NBPF14	961	460	27	28	45	546	582	37	65	0
PDE4DIP	1586	0	2600	0	788	40	4	0	1878	127
NBPF9	22	12	210	0	8	16	9	1	0	19
FCGR1A	240	0	205	0	2	1036	1	0	1	947
HIST2H2BF	28	0	25	0	30	31	35	0	0	39
HIST2H4A	1181	1259	1061	0	30	1181	33	1259	3	1061
HIST2H3C	18	54	23	3	23	16	21	57	5	26
HIST2H2AA3	3547	4324	224	1	287	3547	3485	4324	4324	227
HIST2H2AA4	2687	4289	4270	0	1025	2687	1099	4289	0	4270
HIST2H3A	16	60	21	0	24	16	15	60	14	21
HIST2H4B	325	1211	306	0	216	325	40	1211	242	306
HIST2H2AC	46	52	0	0	214	42	41	135	169	0
C1orf54	0	826	0	0	1295	0	0	342	1402	0
ANXA9	573	0	569	0	105	87	0	0	101	88
C1orf56	1	1446	0	0	3754	0	0	2558	3794	0
