Ensembl.Transcript.ID	Ensembl.Gene.ID	Associated.Gene.Name	HGNC.symbol	EntrezGene.ID	Length	NumReads	Expected_FPKM	star.htseq.u.count	star.htseq.u.FPKM	star.htseq.ine.count	star.htseq.ine.FPKM	star.htseq.is.count	star.htseq.is.FPKM	tophat.htseq.u.count	tophat.htseq.u.FPKM	tophat.htseq.ine.count	tophat.htseq.ine.FPKM	tophat.htseq.is.count	tophat.htseq.is.FPKM	star.cufflinks.NumReads	star.cufflinks.FPKM	star.cufflinks.mr.NumReads	star.cufflinks.mr.FPKM	tophat.cufflinks.NumReads	tophat.cufflinks.FPKM	tophat.cufflinks.mr.NumReads	tophat.cufflinks.mr.FPKM	sailfish.RPKM	sailfish.NumReads	sailfish.FPKM	sailfish.bc.RPKM	sailfish.bc.NumReads	sailfish.bc.FPKM
ENST00000405239	ENSG00000188120	DAZ1	DAZ1	1617;57135	4421	69135	320.9814296	0	0	67	0.311069007	45	0.208926945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4836	7377.72	17.12671666	171.524	36469.1	84.65975159
ENST00000618737	ENSG00000274419	TBC1D3C	TBC1D3C;TBC1D3;TBC1D3D	101060389;414060;100510707;729873	2305	53015	472.0959673	0	0	0	0	0	0	36	0.320578229	2691	23.96322264	0	0	0	0	0	0	0	0	0	0	44.5692	9597.33	42.73187579	139.722	15427.3	68.68967384
ENST00000625187	ENSG00000280084	DAZ1	DAZ1	NA	2235	11563	106.1928931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000417826	ENSG00000167131	CCDC103	CCDC103	388389	3397	84901	513.0027738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306.446	98668.9	298.0967208	802.181	130883	395.4213852
ENST00000625126	ENSG00000280146	RPS4Y2	RPS4Y2	140032	792	69070	1790.056459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2249.03	151988	1969.502687	525.409	19616.7	254.198643
ENST00000623081	ENSG00000279194	DAZ1		NA	1173	5835	102.1045987	0	0	0	0	0	0	0	0	0	0	0	0	8.28967E-05	1.45058E-06	0	0	0.000149486	2.61581E-06	0	0	5450.37	571127	4996.974564	3455.05	192579	1684.935863
ENST00000623110	ENSG00000280045	DAZ1		NA	1317	96561	1504.937397	0	0	0	0	0	0	0	0	0	0	0	0	0.000175954	2.74231E-06	867.5516599	13.5211	5.80519E-05	9.04759E-07	0	0	0	0	0	0	0	0
ENST00000553820	ENSG00000277706	DUX4L7	DUX4L7	NA	1375	16017	239.1007465	0	0	0	0	0	0	0	0	0	0	0	0	14.01560161	0.209224	0	0	49411.05144	737.605	0	0	598.053	74465.7	555.8095917	316.187	20708.7	154.5690713
ENST00000553702	ENSG00000259128	DUX4L2	DUX4L2	NA	1375	58538	873.8515015	0	0	0	0	0	0	0	0	0	0	0	0	15.63049334	0.233331	0	0	50495.1933	753.789	0	0	762.042	94884.6	708.2156051	402.887	26387.2	196.9532128
ENST00000553722	ENSG00000258697	DUX4L6	DUX4L6	NA	1375	90965	1357.919673	0	0	0	0	0	0	0	0	0	0	0	0	15.63049334	0.233331	0	0	50478.17822	753.535	0	0	762.042	94884.6	708.2156051	402.887	26387.2	196.9532128
ENST00000554285	ENSG00000258389	DUX4L1	DUX4L1	NA	1375	76266	1138.493946	0	0	0	0	0	0	0	0	0	0	0	0	15.63049334	0.233331	0	0	50450.04305	753.115	0	0	762.042	94884.6	708.2156051	402.887	26387.2	196.9532128
ENST00000557656	ENSG00000259034	DUX4L3	DUX4L3	NA	1375	35675	532.554107	0	0	0	0	0	0	0	0	0	0	0	0	15.63049334	0.233331	0	0	50422.84572	752.709	0	0	762.042	94884.6	708.2156051	402.887	26387.2	196.9532128
ENST00000557283	ENSG00000259063	DUX4L5	DUX4L5	NA	1424	36409	524.80893	0	0	0	0	0	0	0	0	0	0	0	0	19.25224932	0.277507	0	0	50568.1047	728.902	0	0	101.248	13091.2	94.350005	53.9556	3661.53	26.38912963
ENST00000610514	ENSG00000229579	USP17L26	USP17L26	728400;728419;728405;728379;728373;728369;728393	1677	27019	330.7034026	0	0	0	0	0	0	0	0	0	0	0	0	67.26501616	0.823301	0	0	61156.75879	748.538	0	0	0	0	0	0	0	0
ENST00000621472	ENSG00000230430	USP17L25	USP17L25	728373;728405;728393;728379;728400;728369;728419	1677	82108	1004.974092	0	0	0	0	0	0	0	0	0	0	0	0	67.26501616	0.823301	0	0	61040.17059	747.111	0	0	0	0	0	0	0	0
ENST00000622713	ENSG00000232264	USP17L24	USP17L24	728405;728393;728419;728379;728373;728369;728400	1677	53957	660.4153926	0	0	0	0	0	0	0	0	0	0	0	0	67.26501616	0.823301	0	0	61091.3158	747.737	0	0	0	0	0	0	0	0
ENST00000504104	ENSG00000228856	USP17L30	USP17L30	728400;728373;728369;728393;728379;728405;728419	1593	46012	592.8676997	0	0	0	0	0	0	0	0	0	0	0	0	68.03092328	0.876583	0	0	61722.38019	795.297	0	0	1513.56	220682	1421.75117	761.975	57928.9	373.2088769
